Heure,Voie 1
ms,°C
,
339811,542.02
340014,542.21
340201,542.21
340404,541.96
340607,541.96
340809,541.79
341012,541.66
341215,541.66
341402,541.68
341605,541.68
341808,541.3
342011,541.3
342213,541.04
342401,541.42
342603,541.42
342806,541.06
343009,541.06
343212,540.91
343415,540.38
343602,540.38
343805,540.68
344007,540.68
344210,540.44
344413,540.44
344600,540.04
344803,540.38
345006,540.38
345209,539.89
345411,539.89
345614,539.76
345801,539.57
346004,539.57
346207,539.68
346410,539.68
346613,539.42
346800,539.42
347003,539.08
347205,538.93
347408,538.93
347611,538.93
347814,538.93
348001,538.74
348204,538.4
348407,538.4
348609,538.31
348812,538.31
349015,538.42
349202,538.42
349405,538.21
349608,537.72
349811,537.72
350013,537.89
350201,537.89
350403,537.74
350606,537.02
350809,537.02
351012,537
351215,537
351402,537
351605,537
351807,536.8
352010,536.53
352213,536.53
352400,536.46
352603,536.46
352806,536.51
353009,536.21
353211,536.21
353414,535.72
353601,535.72
353804,536.02
354007,536.02
354210,535.72
354413,535.25
354600,535.25
354803,535.08
355005,535.08
355208,535.29
355411,534.87
355614,534.87
355801,534.46
356004,534.46
356207,534.51
356409,534.51
356612,534.21
356815,534.14
357002,534.14
357205,533.91
357408,533.91
357611,533.63
357813,533.36
358001,533.36
358203,533.21
358406,533.21
358609,532.91
358812,532.91
359015,532.63
359202,532.61
359405,532.61
359607,532.38
359810,532.38
360013,532.23
360200,531.97
360403,531.97
360606,532.04
360809,532.04
361012,531.46
361214,531.38
361402,531.38
361604,531.27
361807,531.27
362010,531.1
362213,531.1
362400,531.1
362603,530.72
362806,530.72
363008,530.25
363211,530.25
363414,530.12
363601,530.12
363804,530.17
364007,529.76
364210,529.76
364412,529.74
364600,529.74
364802,529.46
365005,529.4
365208,529.4
365411,528.91
365614,528.91
365801,528.89
366004,528.89
366206,528.65
366409,528.52
366612,528.52
366815,528.16
367002,528.16
367205,528.2
367408,528.1
367610,528.1
367813,527.65
368000,527.65
368203,527.29
368406,527.29
368609,527.48
368812,527.1
369014,527.1
369202,526.8
369404,526.8
369607,526.75
369810,526.65
370013,526.65
370200,526.18
370403,526.18
370606,525.58
370808,525.58
371011,526.01
371214,525.6
371401,525.6
371604,525.26
371807,525.26
372010,524.92
372212,524.98
372400,524.98
372602,524.6
372805,524.6
373008,524.34
373211,524.34
373414,524.39
373601,524.24
373804,524.24
374006,523.9
374209,523.9
374412,523.41
374615,523.3
374802,523.3
375005,523.21
375208,523.21
375410,522.94
375613,522.94
375800,522.53
376003,522.47
376206,522.47
376409,522.23
376612,522.23
376814,521.85
377002,521.76
377204,521.76
377407,521.85
377610,521.85
377813,521.27
378000,521.27
378203,520.98
378406,521.02
378608,521.02
378811,520.83
379014,520.83
379201,520.46
379404,520.14
379607,520.14
379810,520.14
380012,520.14
380200,519.93
380402,519.93
380605,519.63
380808,519.29
381011,519.29
381214,519.29
381401,519.29
381604,519.1
381806,518.78
382009,518.78
382212,518.51
382415,518.51
382602,518.53
382805,518.53
383008,518.04
383210,517.98
383413,517.98
383600,517.74
383803,517.74
384006,517.51
384209,516.96
384412,516.96
384614,517.09
384802,517.09
385004,516.94
385207,516.94
385410,516.56
385613,516.17
385800,516.17
386003,516.17
386206,516.17
386408,515.96
386611,515.54
386814,515.54
387001,515.26
387204,515.26
387407,515.37
387610,515.37
387812,514.86
388000,514.39
388202,514.39
388405,514.43
388608,514.43
388811,514.16
389014,514.11
389201,514.11
389404,513.73
389606,513.73
389809,513.58
390012,513.58
390215,513.43
390402,513.05
390605,513.05
390808,512.69
391010,512.69
391213,512.82
391401,512.82
391603,512.63
391806,512.03
392009,512.03
392212,512.03
392415,512.03
392602,511.78
392805,511.54
393007,511.54
393210,511.12
393413,511.12
393600,511.25
393803,511.25
394006,511.1
394209,510.76
394411,510.76
394614,510.33
394801,510.33
395004,510.27
395207,510.29
395410,510.29
395613,509.95
395800,509.95
396003,509.57
396205,509.57
396408,509.7
396611,509.23
396814,509.23
397001,509.06
397204,509.06
397407,508.76
397609,508.91
397812,508.91
398015,508.55
398202,508.55
